"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-53","1","STC01-A-029-10","0","0","-1.2","in","4410.084581242076","5318.969861609134","5375.346027913063","908.8852803670579","965.2614466709874","in","true","20260909","CASE5","5"
"STC1/out-53","1","STC01-B-011-08","0","10","-1.2","out","4473.894375819447","5400.346027913063","5446.222194216993","926.4516520936158","972.3278183975453","out","true","20260909","CASE5","5"
"STC1/in-54","1","STC01-A-026-09","0","10","-1.2","in","4490.589933082727","5446.222194216993","5484.598360520922","955.6322611342657","994.0084274381952","dc","true","20260909","CASE6","6"
"STC1/out-54","1","STC01-B-014-01","0","0","-1.2","out","4555.414683857401","5446.222194216993","5532.974526824852","890.807510359592","977.559842967451","dc","true","20260909","CASE6","6"
"STC1/in-55","1","STC01-B-008-02","0","0","-1.2","in","4578.419439675552","5545.474526824852","5584.338781610482","967.0550871492997","1005.9193419349303","in","true","20260909","CASE1","1"
"STC1/in-56","1","STC01-A-023-06","0","0","-1.2","in","4662.612999411565","5595.3268700921835","5631.703036396113","932.7138706806181","969.0900369845476","dc","true","20260909","CASE2","2"
"STC1/out-56","1","STC01-A-014-05","60","0","-1.2","out","4727.366163743926","5595.3268700921835","5675.5792027000425","867.9607063482572","948.2130389561162","dc","true","20260909","CASE2","2"
"STC1/out-55","1","STC01-A-021-07","0","0","-1.2","out","4639.7072309641435","5701.5792027000425","5756.288702337306","1061.871971735899","1116.5814713731625","out","true","20260909","CASE1","1"
"STC1/in-57","1","STC01-A-009-10","0","10","-1.2","in","4744.420248341879","5756.288702337306","5795.831535307902","1011.8684539954265","1051.411286966023","in","true","20260909","CASE3","3"
"STC1/in-58","1","STC01-B-028-06","30","0","-1.2","in","4822.408407367766","5807.498201974569","5853.207701611832","985.0897946068035","1030.799294244066","dc","true","20260909","CASE4","4"
"STC1/out-58","1","STC01-B-018-05","30","0","-1.2","out","4893.941099405555","5807.498201974569","5892.250534582428","913.5571025690142","998.3094351768732","dc","true","20260909","CASE4","4"
"STC1/out-57","1","STC01-A-009-01","0","10","-1.2","out","4813.622924934275","5892.250534582428","5929.55724656361","1078.6276096481533","1115.9343216293346","out","true","20260909","CASE3","3"
"STC1/in-59","1","STC01-A-023-09","0","0","-1.2","in","4914.679426767731","5929.55724656361","5978.433412867539","1014.8778197958791","1063.7539860998086","dc","true","20260909","CASE5","5"
"STC1/out-59","1","STC01-B-009-06","0","10","-1.2","out","4984.588518724112","5929.55724656361","6020.309579171469","944.9687278394977","1035.7210604473566","dc","true","20260909","CASE5","5"
"STC1/in-60","1","STC01-B-017-09","0","10","-1.2","in","5002.867134719023","6032.809579171469","6077.685745475398","1029.9424444524457","1074.8186107563752","in","true","20260909","CASE6","6"
"STC1/out-60","1","STC01-A-020-07","0","0","-1.2","out","5069.945460257254","6094.685745475398","6148.061911779328","1024.740285218144","1078.1164515220735","out","true","20260909","CASE6","6"
"STC1/in-61","1","STC01-A-009-06","0","0","-1.2","in","5093.404809232536","6148.061911779328","6176.938078083257","1054.657102546792","1083.5332688507215","dc","true","20260909","CASE1","1"
"STC1/out-61","1","STC01-A-026-07","0","0","-1.2","out","5149.770490807881","6148.061911779328","6232.14757772052","998.2914209714463","1082.3770869126383","dc","true","20260909","CASE1","1"
"STC1/in-62","1","STC01-A-015-09","0","0","-1.2","in","5183.039707544127","6232.14757772052","6267.023744024449","1049.1078701763927","1083.9840364803222","in","true","20260909","CASE2","2"
