"job_id","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"in-62","in","5183.039707544127","5203.603824141214","5236.603824141214","20.564116597087377","53.56411659708738","in","true","20260909"
"out-62","out","5231.268757126694","5236.603824141214","5280.270490807881","5.335067014520064","49.001733681187034","out","true","20260909"
"in-63","in","5261.691942338699","5280.270490807881","5316.103824141214","18.57854846918235","54.41188180251538","in","true","20260909"
"out-63","out","5315.167692642926","5316.103824141214","5357.937157474547","0.9361314982879776","42.76946483162101","out","true","20260909"
"in-64","in","5349.290276205699","5357.937157474547","5396.437157474547","8.64688126884812","47.14688126884812","in","true","20260909"
"out-64","out","5401.366586546814","5401.366586546814","5445.866586546814","0","44.5","out","true","20260909"
"in-65","in","5435.553061158529","5445.866586546814","5470.866586546814","10.313525388284688","35.31352538828469","in","true","20260909"
"out-65","out","5482.5422736856035","5482.5422736856035","5544.375607018937","0","61.83333333333394","out","true","20260909"
"in-66","in","5513.514703139663","5544.375607018937","5582.875607018937","30.8609038792747","69.3609038792747","in","true","20260909"
"out-66","out","5567.221447331832","5582.875607018937","5627.375607018937","15.654159687105675","60.154159687105675","out","true","20260909"
"in-67","in","5597.148248953745","5627.375607018937","5659.2089403522705","30.227358065192675","62.060691398525705","in","true","20260909"
"out-67","out","5655.9947784138585","5659.2089403522705","5699.540991558451","3.214161938411962","43.54621314459291","out","true","20260909"
"in-68","in","5679.624623873138","5699.540991558451","5725.374324891784","19.916367685313162","45.74970101864619","in","true","20260909"
"out-68","out","5738.41980180304","5738.41980180304","5769.560681055295","0","31.140879252255218","out","true","20260909"
"in-69","in","5771.08124409004","5771.08124409004","5803.58124409004","0","32.5","in","true","20260909"
"out-69","out","5824.021693300457","5824.021693300457","5870.402524820103","0","46.38083151964656","out","true","20260909"
"in-70","in","5851.403714194894","5870.402524820103","5894.166403830688","18.998810625209444","42.76268963579423","in","true","20260909"
"out-70","out","5916.743659881344","5916.743659881344","5967.910326548011","0","51.16666666666697","out","true","20260909"
"in-71","in","5932.590864707849","5967.910326548011","5996.910326548011","35.31946184016215","64.31946184016215","in","true","20260909"
"out-71","out","6004.2714624200025","6004.2714624200025","6045.9381290866695","0","41.66666666666697","out","true","20260909"
"in-72","in","6026.090852145903","6045.9381290866695","6078.4381290866695","19.847276940766278","52.34727694076628","in","true","20260909"
"out-72","out","6097.426984107921","6097.426984107921","6147.926984107921","0","50.5","out","true","20260909"
